[00:01:17]: [Join Announcement] balalaboom
[00:08:35]: [Death Announcement] balalaboom 死亡，死因： 紅色獵犬。她變成了一個令人毛骨悚然的鬼！
[00:14:02]: [Leave Announcement] balalaboom
[00:19:07]: [Join Announcement] balalaboom
[00:54:08]: [Leave Announcement] balalaboom
[01:26:50]: [Join Announcement] balalaboom
[01:30:24]: [Join Announcement] ルビー
[01:31:31]: [Say] (KU_3aPAZWmD) ルビー: 好多肉...
[01:43:48]: [Say] (KU_uGVY9zVB) balalaboom: 不要種蘑菇嘍
[01:43:53]: [Say] (KU_3aPAZWmD) ルビー: OK
[01:43:55]: [Say] (KU_uGVY9zVB) balalaboom: 剩2天進冬天
[01:44:04]: [Say] (KU_3aPAZWmD) ルビー: OK
[01:48:37]: [Say] (KU_uGVY9zVB) balalaboom: 狗
[01:57:09]: [Skin Announcement] balalaboom mysterybox_classic_4
[01:57:40]: [Say] (KU_uGVY9zVB) balalaboom: 我先去採一些蘆葦
[01:57:46]: [Say] (KU_3aPAZWmD) ルビー: 好的
[02:05:03]: [Say] (KU_uGVY9zVB) balalaboom: 新月!!!!
[02:05:13]: [Say] (KU_uGVY9zVB) balalaboom: 做雕像
[02:05:23]: [Say] (KU_3aPAZWmD) ルビー: 我一個人打不贏三人種 OAO
[02:05:29]: [Say] (KU_uGVY9zVB) balalaboom: 我回去幫打
[02:05:33]: [Say] (KU_uGVY9zVB) balalaboom: 先做
[02:07:21]: [Say] (KU_uGVY9zVB) balalaboom: 再一次XD
[02:07:26]: [Say] (KU_3aPAZWmD) ルビー: 好喔
[02:16:49]: [Say] (KU_uGVY9zVB) balalaboom: 耶~~~
[02:16:53]: [Say] (KU_3aPAZWmD) ルビー: XD
[02:26:56]: [Say] (KU_uGVY9zVB) balalaboom: 過頭>"<
[02:27:02]: [Say] (KU_3aPAZWmD) ルビー: XD
[02:30:43]: [Say] (KU_3aPAZWmD) ルビー: 狗狗
[02:31:03]: [Say] (KU_uGVY9zVB) balalaboom: 我在沼澤
[02:31:14]: [Say] (KU_3aPAZWmD) ルビー: 恩恩
[02:55:22]: [Say] (KU_uGVY9zVB) balalaboom: 剩一次的丟這角落
[02:55:27]: [Say] (KU_3aPAZWmD) ルビー: OK
[02:55:32]: [Say] (KU_uGVY9zVB) balalaboom: 留給麥叔用XD
[02:55:38]: [Say] (KU_3aPAZWmD) ルビー: OK
[03:03:08]: [Say] (KU_uGVY9zVB) balalaboom: 冬王是冬末來?
[03:03:19]: [Say] (KU_3aPAZWmD) ルビー: 不一定的天數
[03:03:25]: [Say] (KU_3aPAZWmD) ルビー: 可能會翹班
[03:08:09]: [Say] (KU_uGVY9zVB) balalaboom: 等到冬王來嗎?
[03:08:19]: [Say] (KU_3aPAZWmD) ルビー: 都可以 看你
[03:11:41]: [Say] (KU_uGVY9zVB) balalaboom: 每天的訊息都好多
[03:11:47]: [Say] (KU_uGVY9zVB) balalaboom: 都看不完QQ
[03:12:04]: [Say] (KU_3aPAZWmD) ルビー: 對阿 都在練肖話www
[03:12:25]: [Say] (KU_uGVY9zVB) balalaboom: 鹿比和玉米G是在丫鼻台才認識的?
[03:12:32]: [Say] (KU_3aPAZWmD) ルビー: 是的
[03:12:50]: [Say] (KU_uGVY9zVB) balalaboom: 看你們鬥嘴感覺很像現實生活中的朋友XD
[03:12:55]: [Say] (KU_uGVY9zVB) balalaboom: 認識很久的那種
[03:13:05]: [Say] (KU_3aPAZWmD) ルビー: XD
